question,answer
कण भौतिकी का मानक मॉडल क्या है?,"कण भौतिकी का मानक मॉडल एक सैद्धांतिक ढांचा है जो मजबूत, कमजोर और विद्युत चुम्बकीय बलों के माध्यम से उप -परमाणु कणों के व्यवहार और उनकी बातचीत का वर्णन करता है। इसमें हिग्स तंत्र शामिल है, जो कणों को द्रव्यमान देने के लिए जिम्मेदार है। \ n"
एंटीमैटर क्या है?,"एंटीमैटर एक प्रकार का मामला है जो कणों से बना होता है, जिसमें साधारण पदार्थ में उनके संबंधित कणों के समान द्रव्यमान होता है, लेकिन इसमें विपरीत आवेश और अन्य क्वांटम संख्या होती है। जब एंटीमैटर पदार्थ के संपर्क में आता है, तो दोनों को नष्ट कर दिया जाता है और ऊर्जा में बदल दिया जाता है। \एन"
ब्लैक होल क्या है?,"एक ब्लैक होल अंतरिक्ष का एक क्षेत्र है जहां गुरुत्वाकर्षण पुल इतना मजबूत है कि कुछ भी नहीं, प्रकाश भी नहीं, इससे बच सकता है। यह तब बनता है जब एक विशाल तारा अपने आप में ढह जाता है और इसके केंद्र में एक विलक्षणता की विशेषता होती है, जहां भौतिकी के नियम जैसा कि हम जानते हैं कि वे टूट जाते हैं। \एन"
परमाणु संलयन क्या है?,"परमाणु संलयन एक ऐसी प्रक्रिया है जिसमें परमाणु नाभिक एक भारी नाभिक बनाने के लिए एक साथ आता है, प्रक्रिया में बड़ी मात्रा में ऊर्जा जारी करता है। यह वह प्रक्रिया है जो सूर्य और अन्य सितारों को शक्ति प्रदान करती है, और इसे पृथ्वी पर स्वच्छ ऊर्जा के संभावित स्रोत के रूप में अध्ययन किया जा रहा है। \एन"
परमाणु विखंडन क्या है?,"परमाणु विखंडन एक ऐसी प्रक्रिया है जिसमें एक परमाणु का नाभिक दो या अधिक छोटे नाभिक में विभाजित होता है, प्रक्रिया में बड़ी मात्रा में ऊर्जा जारी करता है। इसका उपयोग परमाणु ऊर्जा संयंत्रों में बिजली उत्पन्न करने के लिए किया जाता है, लेकिन इसका उपयोग परमाणु बम के रूप में एक विनाशकारी हथियार के रूप में भी किया जा सकता है। \एन"
फोटोइलेक्ट्रिक प्रभाव क्या है?,फोटोइलेक्ट्रिक प्रभाव एक ऐसी घटना है जिसमें इलेक्ट्रॉनों को एक सामग्री से बाहर निकाल दिया जाता है जब यह एक निश्चित आवृत्ति या उच्चतर के प्रकाश के संपर्क में होता है। यह पहली बार अल्बर्ट आइंस्टीन द्वारा देखा गया था और यह क्वांटम यांत्रिकी और आधुनिक इलेक्ट्रॉनिक्स के विकास में एक प्रमुख अवधारणा है। \एन
हाइजेनबर्ग अनिश्चितता सिद्धांत क्या है?,"हाइजेनबर्ग अनिश्चितता सिद्धांत क्वांटम यांत्रिकी में एक मौलिक अवधारणा है जिसमें कहा गया है कि पूर्ण निश्चितता के साथ एक कण की स्थिति और गति दोनों को जानना असंभव है। जितना अधिक सटीक रूप से जाना जाता है, उतना ही कम सटीक रूप से दूसरे को जाना जा सकता है। \एन"
क्वांटम उलझाव क्या है?,"क्वांटम उलझाव एक ऐसी घटना है जिसमें दो या दो से अधिक कण इस तरह से जुड़े हो जाते हैं कि एक कण की स्थिति दूसरे की स्थिति पर निर्भर होती है, उनके बीच की दूरी की परवाह किए बिना। यह क्वांटम यांत्रिकी में एक महत्वपूर्ण अवधारणा है और इसे प्रयोगात्मक रूप से देखा गया है। \एन"
श्रोडिंगर समीकरण क्या है?,"Schrödinger समीकरण क्वांटम यांत्रिकी में एक मौलिक समीकरण है जो समय के साथ एक कण के तरंग फ़ंक्शन के विकास का वर्णन करता है। इसका उपयोग क्वांटम सिस्टम के लिए विभिन्न परिणामों की संभावनाओं की गणना करने के लिए किया जाता है, और परमाणुओं और अणुओं के व्यवहार की हमारी समझ के लिए केंद्रीय है। \एन"
परमाणु का बोहर मॉडल क्या है?,"परमाणु का बोहर मॉडल 1913 में नील्स बोह्र द्वारा प्रस्तावित परमाणु संरचना का एक मॉडल है। यह परमाणु को एक केंद्रीय नाभिक के रूप में वर्णित करता है, जो प्रोटॉन और न्यूट्रॉन से बना है, जो असतत ऊर्जा स्तरों में इलेक्ट्रॉनों से घिरा हुआ है। यह मॉडल क्वांटम यांत्रिकी के विकास में एक प्रारंभिक कदम था। \ n"
बिग बैंग थ्योरी क्या है?,बिग बैंग थ्योरी एक ब्रह्मांडीय मॉडल है जो ब्रह्मांड की उत्पत्ति की व्याख्या करता है। \ n
डार्क मैटर क्या है?,डार्क मैटर मामले का एक काल्पनिक रूप है जिसे ब्रह्मांड में लगभग 85% मामले के लिए माना जाता है।
ब्लैक होल क्या है?,एक ब्लैक होल अंतरिक्ष-समय का एक क्षेत्र है जो गुरुत्वाकर्षण त्वरण को इतना मजबूत करता है कि कुछ भी नहीं-कोई भी कण या यहां तक ​​कि विद्युत चुम्बकीय विकिरण जैसे प्रकाश-इससे बच सकता है।
सुपरनोवा क्या है?,"एक सुपरनोवा एक शक्तिशाली और चमकदार विस्फोट है जो तब होता है जब एक स्टार ने अपने परमाणु ईंधन को समाप्त कर दिया है और इसका कोर गुरुत्वाकर्षण के बल के नीचे गिर जाता है, जो ऊर्जा की एक जबरदस्त मात्रा जारी करता है।"
डार्क एनर्जी क्या है?,डार्क एनर्जी ऊर्जा का एक काल्पनिक रूप है जिसे सभी अंतरिक्ष को अनुमति देने और ब्रह्मांड के त्वरित विस्तार को चलाने के लिए सोचा जाता है।
कॉस्मिक विकिरण क्या है?,"कॉस्मिक विकिरण उच्च-ऊर्जा विकिरण का एक रूप है जो बाहरी अंतरिक्ष से आता है, जिसमें प्रोटॉन, इलेक्ट्रॉनों और परमाणु नाभिक जैसे कणों से मिलकर होता है। \ n"
हबल स्पेस टेलीस्कोप क्या है?,हबल स्पेस टेलीस्कोप एक स्पेस टेलीस्कोप है जिसे 1990 में लो अर्थ ऑर्बिट में लॉन्च किया गया था और आज भी चालू है। इसका नाम खगोलशास्त्री एडविन हबल के नाम पर रखा गया है और इसने एस्ट्रोफिजिक्स और कॉस्मोलॉजी में कई महत्वपूर्ण खोजें की हैं।
पल्सर क्या हैं?,"पल्सर अत्यधिक मैग्नेटाइज्ड घूर्णन न्यूट्रॉन तारे होते हैं जो अपने चुंबकीय ध्रुवों से विद्युत चुम्बकीय विकिरण के बीम का उत्सर्जन करते हैं, जिसे विकिरण के आवधिक दालों के रूप में देखा जा सकता है। \ n"
क्वासर क्या है?,"एक क्वासर एक अत्यंत चमकदार और दूर का सक्रिय गेलेक्टिक न्यूक्लियस है जो बड़े पैमाने पर ऊर्जा का उत्सर्जन करता है, जिसमें दृश्यमान, पराबैंगनी और एक्स-रे विकिरण शामिल हैं। \ n"
कॉस्मिक माइक्रोवेव पृष्ठभूमि विकिरण क्या है?,कॉस्मिक माइक्रोवेव पृष्ठभूमि विकिरण माइक्रोवेव विकिरण की एक बेहोश चमक है जो पूरे ब्रह्मांड को व्याप्त करती है और इसे बिग बैंग के बाद माना जाता है। \ n
आकाशगंगा क्या है?,"एक आकाशगंगा सितारों, गैस और धूल की एक बड़ी प्रणाली है जो गुरुत्वाकर्षण द्वारा एक साथ आयोजित की जाती है और इसमें अरबों तारे और अन्य खगोलीय वस्तुएं हो सकती हैं।"
एक नेबुला क्या है?,"एक नेबुला इंटरस्टेलर गैस और धूल का एक बादल होता है जो रात के आकाश में एक बेहोश, चमकते हुए पैच या प्रकाश के रिबन के रूप में दिखाई देता है।"
डार्क नेबुला क्या है?,एक डार्क नेबुला एक प्रकार का इंटरस्टेलर क्लाउड है जो इतना घना और अपारदर्शी है कि यह इसके पीछे सितारों के प्रकाश को अस्पष्ट करता है। \ n
Oort क्लाउड क्या है?,"ओर्ट क्लाउड बर्फीली वस्तुओं का एक काल्पनिक गोलाकार बादल है, जिसे 100,000 खगोलीय इकाइयों की दूरी पर सूर्य को घेरने के लिए माना जाता है और यह लंबी अवधि के धूमकेतु का संभावित स्रोत है। \ n"
कुइपर बेल्ट क्या है?,"कुइपर बेल्ट नेप्च्यून की कक्षा से परे सौर मंडल का एक क्षेत्र है जो कई छोटी, बर्फीली वस्तुओं का घर है, जिसमें प्लूटो जैसे बौना ग्रह शामिल हैं।"
एक लाल विशाल क्या है?,एक लाल दिग्गज अपने विकास के देर से चरणों में एक चमकदार तारा है जिसने इसके हाइड्रोजन ईंधन को समाप्त कर दिया है और इसके मूल आकार में कई बार विस्तारित किया गया है। \ n
सफेद बौना क्या है?,"एक सफेद बौना एक छोटा, बेहद घना तारा है जो एक कम-द्रव्यमान वाले तारे का अवशेष है जिसने इसके परमाणु ईंधन को समाप्त कर दिया है। \ n"
न्यूट्रॉन स्टार क्या है?,"एक न्यूट्रॉन स्टार एक छोटा, बेहद घना तारा है जो लगभग पूरी तरह से न्यूट्रॉन से बना है जो तब बनता है जब एक विशाल तारा एक सुपरनोवा विस्फोट से गुजरता है। \ n"
घटना क्षितिज क्या है?,"घटना क्षितिज एक ब्लैक होल के चारों ओर सीमा है जिसके आगे कुछ भी नहीं बच सकता है, प्रकाश भी नहीं। \ n"
गामा-रे फट क्या है?,एक गामा-रे फटने से उच्च-ऊर्जा गामा-रे विकिरण का एक संक्षिप्त और अत्यंत शक्तिशाली फट है जिसे ब्लैक होल के गठन के साथ जुड़ा हुआ माना जाता है। \ n
मैग्नेटार क्या है?,एक मैग्नेटार एक बहुत मजबूत चुंबकीय क्षेत्र के साथ एक प्रकार का न्यूट्रॉन स्टार है जो उच्च-ऊर्जा विद्युत चुम्बकीय विकिरण के फटने का उत्पादन कर सकता है। \ n
डार्क प्लाज्मा क्या है?,डार्क प्लाज्मा पदार्थ का एक काल्पनिक रूप है जिसे केवल गुरुत्वाकर्षण और कमजोर परमाणु बल के माध्यम से साधारण मामले के साथ बातचीत करने के लिए माना जाता है। \ n
एक कॉस्मिक स्ट्रिंग क्या है?,एक ब्रह्मांडीय स्ट्रिंग एक काल्पनिक एक-आयामी वस्तु है जिसे प्रारंभिक ब्रह्मांड का एक अवशेष माना जाता है और ब्रह्मांडीय संरचना पर अवलोकन योग्य प्रभाव पैदा कर सकता है। \ n
इंटरस्टेलर माध्यम क्या है?,"इंटरस्टेलर माध्यम मामला और विकिरण है जो गैस, धूल और ब्रह्मांडीय किरणों सहित एक आकाशगंगा में तारों के बीच अंतरिक्ष में मौजूद है। \ n"
कॉस्मिक मुद्रास्फीति क्या है?,"ब्रह्मांडीय मुद्रास्फीति ब्रह्मांड के बेहद तेजी से विस्तार की एक परिकल्पित अवधि है जो बिग बैंग के बाद पहले कुछ क्षणों के दौरान हुई थी, जिसे ब्रह्मांड के बड़े पैमाने पर संरचना के बारे में कई टिप्पणियों की व्याख्या करने के लिए सोचा जाता है। \ n।"
सुपरनोवा क्या है?,"एक सुपरनोवा एक शक्तिशाली और चमकदार विस्फोट है जो तब होता है जब एक तारे ने अपने परमाणु ईंधन को समाप्त कर दिया है और गुरुत्वाकर्षण के बल के नीचे ढह जाता है, जिससे ऊर्जा की एक भयावह रिहाई होती है। \ n"
डार्क मैटर क्या है?,"डार्क मैटर मामला का एक रूप है जिसे ब्रह्मांड में लगभग 85% मामले के लिए माना जाता है, लेकिन प्रकाश या विद्युत चुम्बकीय विकिरण के अन्य रूपों के साथ बातचीत नहीं करता है। \ n"
डार्क एनर्जी क्या है?,डार्क एनर्जी ऊर्जा का एक काल्पनिक रूप है जिसे ब्रह्मांड के त्वरित विस्तार के लिए जिम्मेदार माना जाता है। \ n
चंद्रशेखर सीमा क्या है?,चंद्रशेखर सीमा अधिकतम द्रव्यमान है जो एक सफेद बौना हो सकता है इससे पहले
मैग्नेटोहाइड्रोडायनामिक वेव क्या है?,"""एक मैग्नेटोहाइड्रोडायनामिक तरंग एक प्रकार की लहर है जो एक प्लाज्मा में होती है जिसमें चुंबकीय और द्रव जैसे गुण होते हैं, और इसे सूर्य के वातावरण और अन्य एस्ट्रोफिजिकल सिस्टम की गतिशीलता में एक भूमिका निभाने के लिए माना जाता है। \ n"""
एक कोरोनल मास इजेक्शन क्या है?,"""एक कोरोनल मास इजेक्शन सन कोरोना से प्लाज्मा और चुंबकीय क्षेत्र की एक बड़ी रिलीज है जो पृथ्वी पर जियोमैग्नेटिक तूफान और अन्य प्रभावों का कारण बन सकता है। \ n"""
सौर हवा क्या है?,"""सौर हवा चार्ज किए गए कणों की एक धारा है जो लगातार सन कोरोना से उत्सर्जित होती है और पूरे सौर मंडल को भरती है, सौर मंडल में ग्रहों और अन्य निकायों के साथ बातचीत करती है। \ n"""
एक ब्रह्मांडीय किरण क्या है?,"""एक ब्रह्मांडीय किरण एक उच्च-ऊर्जा कण है, जैसे कि एक प्रोटॉन या एक परमाणु नाभिक, जो पृथ्वी के वातावरण के बाहर से उत्पन्न होता है और जब यह पदार्थ के साथ बातचीत करता है तो आयनीकरण और अन्य प्रभाव पैदा कर सकता है।"
एक स्पंदित चर स्टार क्या है?,"एक स्पंदित चर स्टार एक तारा है जिसकी चमक समय -समय पर इसके आकार और तापमान में परिवर्तन के कारण बदलती है, और अक्सर खगोल विज्ञान में दूरी संकेतक के रूप में उपयोग की जाती है। \ n"
ड्रेक समीकरण क्या है?,"ड्रेक समीकरण एक गणितीय समीकरण है जो मिल्की वे गैलेक्सी में मौजूद बुद्धिमान सभ्यताओं की संख्या का अनुमान लगाने का प्रयास करता है, विभिन्न कारकों जैसे कि स्टार गठन की दर और अन्य ग्रहों पर विकसित होने वाले जीवन की संभावना के आधार पर। \ n"
गुरुत्वाकर्षण लेंसिंग क्या है?,"गुरुत्वाकर्षण लेंसिंग गुरुत्वाकर्षण द्वारा प्रकाश का झुकना है, जिससे दूर की वस्तुएं विकृत या आवर्धित दिखाई दे सकती हैं। \ n"
ब्लैक होल विलय क्या है?,"एक ब्लैक होल विलय वह प्रक्रिया है जिसके द्वारा दो ब्लैक होल एक -दूसरे की परिक्रमा करते हैं और अंततः एक एकल, अधिक बड़े पैमाने पर ब्लैक होल में विलय करते हैं, जो गुरुत्वाकर्षण तरंगों के रूप में बड़ी मात्रा में गुरुत्वाकर्षण ऊर्जा जारी करते हैं। \ n"
एक गेलेक्टिक प्रभामंडल क्या है?,एक गेलेक्टिक हेलो एक आकाशगंगा के आसपास की जगह का एक क्षेत्र है जिसमें बड़ी मात्रा में अंधेरे पदार्थ होते हैं और इसे आकाशगंगा के कुछ सबसे पुराने सितारों के लिए गठन का स्थल माना जाता है। \ n
पल्सर क्या है?,"एक पल्सर एक अत्यधिक चुम्बकित, घूर्णन न्यूट्रॉन स्टार है जो विद्युत चुम्बकीय विकिरण के बीम का उत्सर्जन करता है जो तारे के साथ दालों के रूप में देखे जाते हैं। \ n"
क्वासर क्या है?,एक क्वासर एक प्रकार का सक्रिय गेलेक्टिक नाभिक है जो एक आकाशगंगा के केंद्र में एक सुपरमैसिव ब्लैक होल पर सामग्री के अभिवृद्धि से बड़ी मात्रा में ऊर्जा का उत्सर्जन करता है। \ n
कॉस्मिक माइक्रोवेव पृष्ठभूमि विकिरण क्या है?,"कॉस्मिक माइक्रोवेव पृष्ठभूमि विकिरण विद्युत चुम्बकीय विकिरण की एक बेहोश चमक है जो पूरे अवलोकन योग्य ब्रह्मांड को अनुमति देता है, और इसे बिग बैंग से अवशेष विकिरण माना जाता है। \ n"
हबल स्थिरांक क्या है?,"हबल कॉन्स्टेंट उस दर का एक उपाय है जिस पर ब्रह्मांड का विस्तार हो रहा है, और खगोलशास्त्री एडविन हबल के नाम पर रखा गया है।"
एक ग्रह नेबुला क्या है?,"एक ग्रह नेबुला गैस और धूल का एक बादल होता है जिसे एक मरने वाले स्टार द्वारा बाहर निकाल दिया जाता है, और तारे के गर्म कोर के पराबैंगनी विकिरण द्वारा रोशन किया जाता है। \ n"
Oort क्लाउड क्या है?,Oort क्लाउड धूमकेतु और अन्य बर्फीले शरीर का एक काल्पनिक बादल है जो सौर मंडल की सबसे बाहरी पहुंच पर मौजूद माना जाता है। \ n
एक सफेद छेद क्या है?,"एक सफेद छेद एक काल्पनिक वस्तु है जो एक ब्लैक होल का उल्टा होता है, जो उन्हें अंदर की ओर खींचने के बजाय बाहर की ओर निकलता है। यह वर्तमान में ब्रह्मांड में मौजूद नहीं माना जाता है। \ n"
अभिवृद्धि डिस्क क्या है?,"एक अभिवृद्धि डिस्क गैस और धूल की एक डिस्क है जो एक केंद्रीय वस्तु को घेरती है, जैसे कि ब्लैक होल या एक युवा स्टार, और केंद्रीय ऑब्जेक्ट पर सामग्री के चल रहे अभिवृद्धि की साइट है। \ n"
रहने योग्य क्षेत्र क्या है?,"रहने योग्य क्षेत्र एक तारे के चारों ओर वह क्षेत्र है जहां तापमान तरल पानी के लिए किसी ग्रह की सतह पर मौजूद है, और जीवन के लिए सबसे अधिक संभावित स्थान माना जाता है जैसा कि हम जानते हैं कि यह अस्तित्व में है। \ n"
इंटरस्टेलर माध्यम क्या है?,"इंटरस्टेलर माध्यम वह मामला और विकिरण है जो तारों के बीच अंतरिक्ष में मौजूद है, और इसमें गैस, धूल, ब्रह्मांडीय किरणें और चुंबकीय क्षेत्र शामिल हैं। \ n"
एक भूरा बौना क्या है?,"एक भूरा बौना एक सबस्टेलर ऑब्जेक्ट है जो एक तारे की तरह अपने मूल में परमाणु संलयन को बनाए रखने के लिए पर्याप्त नहीं है, लेकिन एक ग्रह की तुलना में अधिक बड़े पैमाने पर है। \ n"
मुख्य अनुक्रम क्या है?,"""मुख्य अनुक्रम एक तारे जीवन चक्र का चरण है, जिसके दौरान यह अपने मूल में हाइड्रोजन को फ्यूज कर रहा है और स्थिर संतुलन की स्थिति में है, इसकी चमक, तापमान, और द्रव्यमान के बीच एक संबंध की विशेषता है जिसे हर्ट्ज़स्प्रंग-रसेल आरेख के रूप में जाना जाता है। \ n"""
कुइपर बेल्ट क्या है?,"कुइपर बेल्ट नेप्च्यून की कक्षा से परे सौर मंडल का एक क्षेत्र है जो कई छोटे, बर्फीले शरीर का घर है, जिसमें प्लूटो जैसे बौना ग्रह शामिल हैं।"
न्यूट्रॉन स्टार क्या है?,"एक न्यूट्रॉन स्टार एक अत्यधिक घना, कॉम्पैक्ट स्टार है, जो लगभग पूरी तरह से न्यूट्रॉन से बना है, जो एक सुपरनोवा विस्फोट में एक विशाल तारे के कोर के पतन से गठित है। \ n"
गामा-रे फट क्या है?,"एक गामा-रे फट गामा किरणों का अचानक और तीव्र फट है, जो विद्युत चुम्बकीय विकिरण का सबसे ऊर्जावान रूप है, जिसे बड़े पैमाने पर सितारों के पतन या न्यूट्रॉन सितारों की टक्कर से उत्पन्न माना जाता है।"
डार्क फ्लुइड क्या है?,"डार्क फ्लुइड डार्क मैटर का एक काल्पनिक रूप है जिसमें कुछ तरल पदार्थ जैसे गुण होते हैं, और ब्रह्मांड के त्वरित विस्तार के लिए एक वैकल्पिक स्पष्टीकरण के रूप में प्रस्तावित किया गया है। \ n"
लिमन-अल्फा वन क्या है?,"लिमन-अल्फा वन हाइड्रोजन गैस के बादलों को हस्तक्षेप करने के कारण दूर के क्वासर्स के स्पेक्ट्रा में अवशोषण लाइनों की एक श्रृंखला है, और ब्रह्मांड के बड़े पैमाने पर संरचना का अध्ययन करने के लिए उपयोग किया जाता है।"
सफेद बौना क्या है?,"एक सफेद बौना एक छोटा, घना तारा है जिसने अपने अधिकांश परमाणु ईंधन को समाप्त कर दिया है और पृथ्वी के समान आकार में ढह गया है, और हमारे सूर्य सहित अधिकांश सितारों के लिए विकास का अंतिम चरण है।"
चंद्रशेखर सीमा क्या है?,"चंद्रशेखर सीमा एक सफेद बौने का अधिकतम द्रव्यमान है, जिसके आगे यह गुरुत्वाकर्षण पतन के खिलाफ खुद का समर्थन नहीं कर सकता है और एक प्रकार ia सुपरनोवा में विस्फोट होगा। \ n"
डार्क एनर्जी क्या है?,"डार्क एनर्जी ऊर्जा का एक काल्पनिक रूप है जिसे ब्रह्मांड के त्वरित विस्तार के लिए जिम्मेदार माना जाता है, और ब्रह्मांड की कुल ऊर्जा सामग्री के लगभग 70% का प्रतिनिधित्व करता है। \ n"
एक ग्रह नेबुला क्या है?,"एक ग्रह नेबुला एक प्रकार का उत्सर्जन नेबुला है जो हमारे सूर्य की तरह एक कम-द्रव्यमान तारा होने पर बनता है, अपने जीवन के अंतिम चरणों में प्रवेश करता है और अंतरिक्ष में गैस की बाहरी परतों को बाहर निकालता है। \ n"
पल्सर क्या है?,"एक पल्सर एक अत्यधिक चुम्बकित, घूर्णन न्यूट्रॉन स्टार है जो अपने चुंबकीय ध्रुवों से विद्युत चुम्बकीय विकिरण के बीमों का उत्सर्जन करता है, जिसे विकिरण के नियमित दालों के रूप में देखा जा सकता है। \ n"
क्वासर क्या है?,"एक क्वासर एक अत्यंत चमकदार सक्रिय गेलेक्टिक न्यूक्लियस है जो विद्युत चुम्बकीय स्पेक्ट्रम में भारी मात्रा में ऊर्जा का उत्सर्जन करता है, जिसे एक आकाशगंगा के केंद्र में एक सुपरमैसिव ब्लैक होल पर पदार्थ के अभिवृद्धि द्वारा संचालित माना जाता है। \ n"
Oort क्लाउड क्या है?,"ओर्ट क्लाउड बर्फीली वस्तुओं का एक काल्पनिक बादल है जो 100,000 खगोलीय इकाइयों की दूरी पर सूर्य को घेरने के लिए माना जाता है, और माना जाता है कि यह सबसे लंबी अवधि के धूमकेतु का स्रोत है। \ n"
सुपरनोवा क्या है?,"एक सुपरनोवा एक शक्तिशाली और चमकदार तारकीय विस्फोट है जो तब होता है जब एक स्टार ने अपने परमाणु ईंधन को समाप्त कर दिया है और अब गुरुत्वाकर्षण पतन के खिलाफ खुद का समर्थन नहीं कर सकता है, जिसके परिणामस्वरूप ऊर्जा की तेजी से रिहाई और भारी तत्वों का उत्पादन होता है।"
कॉस्मिक मुद्रास्फीति क्या है?,"ब्रह्मांडीय मुद्रास्फीति एक सिद्धांत है जो प्रस्तावित करता है कि ब्रह्मांड ने बिग बैंग के बाद एक सेकंड के पहले अंश में घातीय विस्तार की एक संक्षिप्त अवधि से गुजरते हैं, जो ब्रह्मांड के कुछ अवलोकन गुणों को समझाने में मदद करेगा, जैसे कि इसकी एकरूपता और समतलपन।"
डार्क मैटर क्या है?,"डार्क मैटर ऐसा मामला है जो प्रकाश का उत्सर्जन नहीं करता है, अवशोषित नहीं करता है, या प्रकाश को दर्शाता है, और इसलिए दूरबीनों के लिए अदृश्य है, लेकिन ब्रह्मांड में दृश्यमान पदार्थों पर इसके गुरुत्वाकर्षण प्रभावों के आधार पर मौजूद है, जैसे कि आकाशगंगा और आकाशगंगा समूह।"
ब्लैक होल क्या है?,"एक ब्लैक होल अंतरिक्ष का एक क्षेत्र है जहां गुरुत्वाकर्षण पुल इतना मजबूत है कि कुछ भी नहीं, प्रकाश भी नहीं, इससे बच सकता है। यह तब बनता है जब एक विशाल तारा अपने जीवन के अंत में अपने आप में गिर जाता है। \ n"
न्यूट्रॉन स्टार क्या है?,"एक न्यूट्रॉन स्टार एक प्रकार का अत्यंत घना सितारा है जो तब बनता है जब एक बड़े पैमाने पर स्टार का मूल एक सुपरनोवा विस्फोट के दौरान अपने आप में गिर जाता है, और लगभग पूरी तरह से न्यूट्रॉन से बना होता है।"
हबल स्पेस टेलीस्कोप क्या है?,"हबल स्पेस टेलीस्कोप एक बड़ा, अंतरिक्ष-आधारित वेधशाला है जिसे 1990 में पृथ्वी के चारों ओर कक्षा में लॉन्च किया गया था, और इसने एस्ट्रोफिजिक्स में कई ग्राउंडब्रेकिंग अवलोकन किए हैं, जिसमें ब्रह्मांड के त्वरित विस्तार की खोज भी शामिल है।"
कॉस्मिक माइक्रोवेव पृष्ठभूमि विकिरण क्या है?,"कॉस्मिक माइक्रोवेव पृष्ठभूमि विकिरण विद्युत चुम्बकीय विकिरण की एक बेहोश चमक है जो पूरे अवलोकन योग्य ब्रह्मांड को व्याप्त करता है, और इसे बिग बैंग से छोड़ी गई अवशिष्ट गर्मी माना जाता है। \ n"
गामा-रे फट क्या है?,"एक गामा-रे फट उच्च-ऊर्जा गामा-रे विकिरण का एक संक्षिप्त और तीव्र फट है जो गहरे स्थान से उत्पन्न होता है, और माना जाता है कि यह एक विशाल तारे के पतन या दो न्यूट्रॉन सितारों की टक्कर से जुड़ा हुआ है।"
ड्रेक समीकरण क्या है?,"ड्रेक समीकरण एक गणितीय सूत्र है जो हमारे आकाशगंगा में मौजूद सभ्यताओं की संख्या का अनुमान लगाने का प्रयास करता है, जो हमारी आकाशगंगा में मौजूद हो सकता है, जिसमें स्टार गठन की दर और रहने योग्य ग्रहों पर विकसित होने वाले जीवन की संभावना शामिल हैं।"
एक सुपरमैसिव ब्लैक होल क्या है?,"एक सुपरमैसिव ब्लैक होल एक प्रकार का ब्लैक होल है जो हमारे सूर्य की तुलना में लाखों या अरबों गुना अधिक बड़े पैमाने पर है, और माना जाता है कि अधिकांश आकाशगंगाओं के केंद्रों में स्थित है, जिसमें हमारे अपने मिल्की वे शामिल हैं।"
